# Annotated with Bakta
# Software: v1.9.4
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
NODE_1_length_428434_cov_23.833690	cds	91	507	+	LDPEMP_00005		cytochrome c	SO:0001217, UniRef:UniRef50_UPI00062DBB1D
NODE_1_length_428434_cov_23.833690	cds	504	1550	+	LDPEMP_00010		Surface antigen protein	RefSeq:WP_033478736.1, SO:0001217, UniParc:UPI000528BD27, UniRef:UniRef100_A0A0G8ZLK7, UniRef:UniRef50_A0A3G2W8S0, UniRef:UniRef90_A0A3G2W8S0
NODE_1_length_428434_cov_23.833690	cds	1586	2692	+	LDPEMP_00015	frmA	S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase	COG:C, COG:COG1062, RefSeq:WP_218534399.1, SO:0001217, UniParc:UPI001C48A593, UniRef:UniRef100_UPI001C48A593, UniRef:UniRef50_P06757, UniRef:UniRef90_A0A7Z7J5R6
NODE_1_length_428434_cov_23.833690	cds	2704	5088	+	LDPEMP_00020		TonB-dependent receptor	RefSeq:WP_218558626.1, SO:0001217, UniParc:UPI001C493FD6, UniRef:UniRef100_UPI001C493FD6, UniRef:UniRef50_V7Z9I1, UniRef:UniRef90_Q8PPN2
NODE_1_length_428434_cov_23.833690	cds	5166	7151	-	LDPEMP_00025		Putative transcriptional regulator, Fis family	KEGG:K21405, SO:0001217, UniRef:UniRef50_A0A160N3Z5, UniRef:UniRef90_A0A1C3TJS7
NODE_1_length_428434_cov_23.833690	cds	7407	8339	-	LDPEMP_00030	rbsK	Sugar or nucleoside kinase, ribokinase family	COG:COG0524, COG:G, RefSeq:WP_008573357.1, SO:0001217, UniParc:UPI0001FD51A0, UniRef:UniRef100_A0A6B3KL09, UniRef:UniRef50_A0A091AU37, UniRef:UniRef90_A0A0A6TJW8
NODE_1_length_428434_cov_23.833690	cds	8615	9661	+	LDPEMP_00035	mreB	Cell shape-determining ATPase MreB, actin-like superfamily	COG:COG1077, COG:DZ, RefSeq:WP_003482734.1, SO:0001217, UniParc:UPI00000DA0AD, UniRef:UniRef100_A0A6B3KMA4, UniRef:UniRef50_P44474, UniRef:UniRef90_A0A0A0F0Y4
NODE_1_length_428434_cov_23.833690	cds	9827	11035	+	LDPEMP_00040	mreC	rod shape-determining protein MreC	RefSeq:WP_127167580.1, SO:0001217, UniParc:UPI000F8EA934, UniRef:UniRef100_UPI000F8EA934, UniRef:UniRef50_A0A0P6W4E0, UniRef:UniRef90_A0A0P6W4E0
NODE_1_length_428434_cov_23.833690	cds	11032	11517	+	LDPEMP_00045	mreD	rod shape-determining protein MreD	COG:COG2891, COG:M, RefSeq:WP_005911183.1, SO:0001217, UniParc:UPI00000D7B6D, UniRef:UniRef100_A0A6B3KJ19, UniRef:UniRef50_A0A0S2F655, UniRef:UniRef90_Q5GVQ0
NODE_1_length_428434_cov_23.833690	cds	11521	13581	+	LDPEMP_00050	mrdA	penicillin-binding protein 2	COG:COG0768, COG:DM, RefSeq:WP_218558624.1, SO:0001217, UniParc:UPI001C45DB0B, UniRef:UniRef100_UPI001C45DB0B, UniRef:UniRef50_B4SJ25, UniRef:UniRef90_A0A0A6W8M1
NODE_1_length_428434_cov_23.833690	cds	13578	14696	+	LDPEMP_00055	rodA	rod shape-determining protein RodA	COG:COG0772, COG:D, RefSeq:WP_011050462.1, SO:0001217, UniParc:UPI00000D7B6F, UniRef:UniRef100_A0A0U5FED6, UniRef:UniRef50_A0A1D8Y8M4, UniRef:UniRef90_A0A1Y6HH59
NODE_1_length_428434_cov_23.833690	cds	15014	16405	+	LDPEMP_00060		Endopolygalacturonase	RefSeq:WP_218558623.1, SO:0001217, UniParc:UPI001C478D7A, UniRef:UniRef100_UPI001C478D7A, UniRef:UniRef50_A0A1C3TJT9, UniRef:UniRef90_D4T970
NODE_1_length_428434_cov_23.833690	cds	16674	17813	+	LDPEMP_00065	mltB	lytic murein transglycosylase B	COG:COG2951, COG:M, EC:4.2.2.-, KEGG:K08305, SO:0001217, UniRef:UniRef50_A0A1Y6HEE3, UniRef:UniRef90_A0A1Y6HEE3
NODE_1_length_428434_cov_23.833690	cds	17810	19252	+	LDPEMP_00070	rlpA	Endolytic peptidoglycan transglycosylase RlpA	RefSeq:WP_218558622.1, SO:0001217, UniParc:UPI001C48D6EC, UniRef:UniRef100_UPI001C48D6EC, UniRef:UniRef50_A0A0Q9F3K0, UniRef:UniRef90_Q3BXQ8
NODE_1_length_428434_cov_23.833690	cds	19695	20900	+	LDPEMP_00075	dacC	D-alanyl-D-alanine carboxypeptidase	COG:COG1686, COG:M, RefSeq:WP_218558621.1, SO:0001217, UniParc:UPI001C44B89D, UniRef:UniRef100_UPI001C44B89D, UniRef:UniRef50_B2FUT2, UniRef:UniRef90_V7Z9P0
NODE_1_length_428434_cov_23.833690	cds	21117	22178	-	LDPEMP_00080		DUF2219 domain-containing protein	COG:COG3528, COG:S, EC:3.1.1.-, KEGG:K09953, RefSeq:WP_218558620.1, SO:0001217, UniParc:UPI001C4889E2, UniRef:UniRef100_UPI001C4889E2, UniRef:UniRef50_A0A0Q9EJX3, UniRef:UniRef90_A0A1Y6GZQ2
NODE_1_length_428434_cov_23.833690	cds	22448	22726	+	LDPEMP_00085		UPF0250 protein XCV0727	RefSeq:WP_008577897.1, SO:0001217, UniParc:UPI0001CC03F2, UniRef:UniRef100_Q3BXQ5, UniRef:UniRef50_Q8PPM0, UniRef:UniRef90_Q3BXQ5
NODE_1_length_428434_cov_23.833690	cds	22816	23412	+	LDPEMP_00090	lipB	lipoyl(octanoyl) transferase LipB	COG:COG0321, COG:H, EC:2.3.1.181, GO:0005737, GO:0009249, GO:0033819, KEGG:K03801, RefSeq:WP_233449283.1, SO:0001217, UniParc:UPI00031F8E88, UniRef:UniRef100_Q3BXQ4, UniRef:UniRef50_Q9KTF8, UniRef:UniRef90_Q3BXQ4
NODE_1_length_428434_cov_23.833690	cds	23427	24440	+	LDPEMP_00095	lipA	lipoyl synthase	COG:COG0320, COG:H, EC:2.8.1.8, GO:0005737, GO:0009249, GO:0016992, GO:0046872, GO:0051539, RefSeq:WP_218556259.1, SO:0001217, UniParc:UPI001C43EC13, UniRef:UniRef100_UPI001C43EC13, UniRef:UniRef50_Q9PDW0, UniRef:UniRef90_Q3BXQ3
NODE_1_length_428434_cov_23.833690	cds	24835	27018	+	LDPEMP_00100	ctpA	C-terminal processing protease CtpA/Prc, contains a PDZ domain	COG:COG0793, COG:O, SO:0001217, UniRef:UniRef50_D2UCJ7, UniRef:UniRef90_B0RNQ0
NODE_1_length_428434_cov_23.833690	cds	27103	27858	-	LDPEMP_00105		putative membrane transporter protein	SO:0001217, UniRef:UniRef50_A0A0U5BPF1, UniRef:UniRef90_A0A0U5BPF1
NODE_1_length_428434_cov_23.833690	cds	27934	28839	+	LDPEMP_00110	lysR	DNA-binding transcriptional regulator, LysR family	COG:COG0583, COG:K, RefSeq:WP_008577903.1, SO:0001217, UniParc:UPI00005CE732, UniRef:UniRef100_A0A6B3KMR5, UniRef:UniRef50_W4SM03, UniRef:UniRef90_A0A0U5BNN4
NODE_1_length_428434_cov_23.833690	cds	28929	29792	-	LDPEMP_00115		Endo/exonuclease/phosphatase domain-containing protein	RefSeq:WP_071117866.1, SO:0001217, UniParc:UPI0008DAD030, UniRef:UniRef100_A0A1S1XLI5, UniRef:UniRef50_V7Z8H8, UniRef:UniRef90_D4T959
NODE_1_length_428434_cov_23.833690	cds	29975	31030	+	LDPEMP_00120	nadR	bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase	COG:COG1056, COG:H, EC:2.7.7.1, EC:3.6.1.-, KEGG:K13522, RefSeq:WP_008577907.1, SO:0001217, UniParc:UPI00005CE734, UniRef:UniRef100_A0A6B3KNQ2, UniRef:UniRef50_A0A0G3X0T1, UniRef:UniRef90_B0RNQ4
NODE_1_length_428434_cov_23.833690	cds	31153	32556	+	LDPEMP_00125	pncB	nicotinate phosphoribosyltransferase	COG:COG1488, COG:H, RefSeq:WP_218558619.1, SO:0001217, UniParc:UPI001C494F06, UniRef:UniRef100_UPI001C494F06, UniRef:UniRef50_A0A0U5FA46, UniRef:UniRef90_A0A0U5FA46
NODE_1_length_428434_cov_23.833690	cds	32579	33679	+	LDPEMP_00130		Radical SAM protein	RefSeq:WP_218558618.1, SO:0001217, UniParc:UPI001C441F1B, UniRef:UniRef100_UPI001C441F1B, UniRef:UniRef50_A0A318HXR9, UniRef:UniRef90_A0A0A6U292
NODE_1_length_428434_cov_23.833690	cds	33672	34736	+	LDPEMP_00135		Methyltransferase	RefSeq:WP_218558617.1, SO:0001217, UniParc:UPI001C478D9F, UniRef:UniRef100_UPI001C478D9F, UniRef:UniRef50_A0A0U5FEE9, UniRef:UniRef90_A0A0U5FEE9
NODE_1_length_428434_cov_23.833690	cds	34811	35575	+	LDPEMP_00140		DUF2242 domain-containing protein	RefSeq:WP_029818627.1, SO:0001217, UniParc:UPI0004A3D15F, UniRef:UniRef100_A0A3G2W8S1, UniRef:UniRef50_D2UCX7, UniRef:UniRef90_Q3BXP4
NODE_1_length_428434_cov_23.833690	cds	35700	36080	+	LDPEMP_00145	ycfJ	Uncharacterized conserved protein YcfJ, contains glycine zipper 2TM domain	COG:COG3134, COG:S, RefSeq:WP_008572108.1, SO:0001217, UniParc:UPI00005CE739, UniRef:UniRef100_A0A6B3KJ95, UniRef:UniRef50_A0A023Y5B9, UniRef:UniRef90_A0A1L5QVK8
NODE_1_length_428434_cov_23.833690	cds	36244	37587	+	LDPEMP_00150		ABC transporter substrate-binding protein	RefSeq:WP_218558616.1, SO:0001217, UniParc:UPI001C4750CC, UniRef:UniRef100_UPI001C4750CC, UniRef:UniRef50_A0A7H1ANK8, UniRef:UniRef90_A0A0G9ENS6
NODE_1_length_428434_cov_23.833690	cds	37608	38549	+	LDPEMP_00155	gnd	decarboxylating 6-phosphogluconate dehydrogenase	COG:COG1023, COG:G, RefSeq:WP_011346352.1, SO:0001217, UniParc:UPI00005CE73B, UniRef:UniRef100_A0A6B3KNT0, UniRef:UniRef50_A0A0B7ITN7, UniRef:UniRef90_A0A0U5F886
